y,label,gate_a,gate_v
0,Complain,0.82269233,0.7655694
0,Complain,0.78783375,0.73650557
0,Complain,0.817961,0.7688446
0,Complain,0.6881585,0.7230139
0,Complain,0.29092225,0.60909855
1,Praise,0.08056638,0.59280884
0,Complain,0.7852827,0.75951535
0,Complain,0.7879109,0.76135683
0,Complain,0.74890655,0.7302772
1,Praise,0.07867006,0.59976643
0,Complain,0.82592213,0.7566855
0,Complain,0.83478975,0.7752583
0,Complain,0.7316812,0.7095368
0,Complain,0.8273659,0.7686279
0,Complain,0.8352727,0.7685414
0,Complain,0.8362956,0.76357067
0,Complain,0.07993921,0.5674199
0,Complain,0.8110008,0.75789243
1,Praise,0.07672649,0.59744006
1,Praise,0.07554114,0.60552657
0,Complain,0.81876266,0.7622133
1,Praise,0.07731201,0.5974689
0,Complain,0.07183394,0.58135724
0,Complain,0.76920104,0.7469127
1,Praise,0.077691786,0.61163795
1,Praise,0.075228944,0.60715413
0,Complain,0.7568089,0.7447105
1,Praise,0.07629478,0.59596366
1,Praise,0.07888499,0.59872687
0,Complain,0.8046963,0.75840735
1,Praise,0.075392835,0.59048384
1,Praise,0.108785585,0.5987299
1,Praise,0.07881299,0.5939107
1,Praise,0.11248737,0.5562774
0,Complain,0.78572196,0.74660206
1,Praise,0.074924946,0.5945636
1,Praise,0.73910576,0.72189313
0,Complain,0.1934427,0.5751199
0,Complain,0.74811345,0.7372541
1,Praise,0.071162105,0.60857445
0,Complain,0.83472955,0.7676894
0,Complain,0.809815,0.7376317
1,Praise,0.075283736,0.59102577
0,Complain,0.77883095,0.7469515
0,Complain,0.53940356,0.6981863
1,Praise,0.096903175,0.5694116
1,Praise,0.20385846,0.5810971
1,Praise,0.12262729,0.5546587
1,Praise,0.6955714,0.7216585
1,Praise,0.0775263,0.57753175
0,Complain,0.8050952,0.74917996
0,Complain,0.80437577,0.75038046
0,Complain,0.10401595,0.5665159
0,Complain,0.5133163,0.64214545
1,Praise,0.07848933,0.59429014
1,Praise,0.07799578,0.60325974
1,Praise,0.07720115,0.57710135
1,Praise,0.077228814,0.60025275
0,Complain,0.8185968,0.7622221
0,Complain,0.7872047,0.75528216
1,Praise,0.55114895,0.64910316
0,Complain,0.8128112,0.7637871
1,Praise,0.07591907,0.58653295
0,Complain,0.544049,0.6532002
0,Complain,0.73443866,0.7192493
0,Complain,0.36709172,0.5957706
0,Complain,0.7314685,0.730588
1,Praise,0.076783344,0.5824873
0,Complain,0.6167267,0.6783751
1,Praise,0.07972453,0.57183915
0,Complain,0.7977124,0.74631965
1,Praise,0.07979904,0.5930698
1,Praise,0.07989752,0.57429534
1,Praise,0.075774,0.6121489
0,Complain,0.7758814,0.7465001
0,Complain,0.11269269,0.5663282
1,Praise,0.07364135,0.605004
0,Complain,0.8017131,0.7554404
0,Complain,0.7341937,0.7294973
1,Praise,0.07753148,0.6058568
0,Complain,0.8278857,0.7656723
0,Complain,0.7335169,0.7268396
0,Complain,0.6155693,0.672866
1,Praise,0.44599208,0.6701992
1,Praise,0.07240218,0.6076754
0,Complain,0.81092674,0.7559981
0,Complain,0.79179525,0.7510394
1,Praise,0.078113794,0.5854425
0,Complain,0.5253353,0.7015123
0,Complain,0.82373196,0.7649956
0,Complain,0.7739871,0.7321584
1,Praise,0.077858314,0.5957478
0,Complain,0.8142311,0.7516367
0,Complain,0.7506086,0.73614216
1,Praise,0.07734591,0.585438
1,Praise,0.07508117,0.5912136
0,Complain,0.727648,0.71901995
0,Complain,0.8148812,0.7529524
0,Complain,0.18410692,0.5674026
0,Complain,0.801363,0.76797694
1,Praise,0.083959326,0.6053415
0,Complain,0.710465,0.7236127
0,Complain,0.8471018,0.7714908
0,Complain,0.7809557,0.74265957
0,Complain,0.3477389,0.6084665
0,Complain,0.82754105,0.7612445
0,Complain,0.80081236,0.74862385
0,Complain,0.8308394,0.7565619
1,Praise,0.07883335,0.57885253
1,Praise,0.08939221,0.57513756
0,Complain,0.07874832,0.5975374
0,Complain,0.8378603,0.76833755
0,Complain,0.7097999,0.7121131
1,Praise,0.0744698,0.60529464
0,Complain,0.8293601,0.7690498
0,Complain,0.7968798,0.7212372
0,Complain,0.077407114,0.5966955
0,Complain,0.81345356,0.7595155
1,Praise,0.07494467,0.60094726
1,Praise,0.08210589,0.5810917
1,Praise,0.079125226,0.5785737
1,Praise,0.075161286,0.5847326
0,Complain,0.7877177,0.74999243
0,Complain,0.5531444,0.67781
0,Complain,0.516169,0.6561137
1,Praise,0.7229164,0.7252945
0,Complain,0.77619535,0.7569514
1,Praise,0.07316554,0.5894466
1,Praise,0.076529644,0.5967074
1,Praise,0.081307136,0.59538126
0,Complain,0.78753346,0.7439551
0,Complain,0.80565804,0.7631138
1,Praise,0.07934999,0.6034523
1,Praise,0.07719912,0.5963166
0,Complain,0.83147,0.76381654
1,Praise,0.18366668,0.57351243
0,Complain,0.08579863,0.56678146
1,Praise,0.16912344,0.5881794
1,Praise,0.07630234,0.5840771
0,Complain,0.795004,0.7571894
1,Praise,0.07530792,0.60195464
1,Praise,0.7550388,0.74344414
1,Praise,0.0758839,0.5925876
1,Praise,0.077880226,0.5952822
0,Complain,0.65721416,0.70626694
1,Praise,0.7096152,0.7195822
1,Praise,0.07929632,0.58394676
1,Praise,0.23132712,0.61257577
0,Complain,0.8184216,0.7661475
0,Complain,0.824116,0.76609117
1,Praise,0.073686175,0.60006213
1,Praise,0.17747171,0.5499443
0,Complain,0.8010285,0.7450862
1,Praise,0.07620268,0.5961017
1,Praise,0.13074388,0.5626845
0,Complain,0.7799395,0.75280195
1,Praise,0.08039075,0.57167387
1,Praise,0.074658364,0.5916364
1,Praise,0.07804555,0.5910809
0,Complain,0.19894436,0.56696975
1,Praise,0.07660481,0.5962171
1,Praise,0.07831296,0.59710383
0,Complain,0.733327,0.71380186
0,Complain,0.8032135,0.7401659
1,Praise,0.08419189,0.58299327
0,Complain,0.83134764,0.76385576
1,Praise,0.07522999,0.59421325
0,Complain,0.79566175,0.74386007
0,Complain,0.50785816,0.6757919
0,Complain,0.77589303,0.7401139
1,Praise,0.08525415,0.59910876
0,Complain,0.7974373,0.7445455
0,Complain,0.48083797,0.6623244
1,Praise,0.0794313,0.60066736
1,Praise,0.08549674,0.5579446
0,Complain,0.719722,0.7340568
1,Praise,0.07833452,0.5777948
0,Complain,0.8192041,0.7567499
0,Complain,0.82138187,0.76234293
0,Complain,0.07912807,0.5500061
0,Complain,0.6970135,0.7058028
0,Complain,0.8040142,0.7593156
1,Praise,0.07135113,0.58766645
0,Complain,0.7178888,0.7110908
1,Praise,0.07891034,0.59628725
0,Complain,0.7754408,0.7652541
0,Complain,0.19158953,0.57293016
1,Praise,0.07504941,0.5957451
0,Complain,0.7905349,0.7463281
1,Praise,0.07870131,0.60177517
0,Complain,0.8219836,0.76354516
1,Praise,0.07599948,0.6068938
0,Complain,0.81179285,0.7596509
0,Complain,0.81650156,0.7557219
0,Complain,0.7684549,0.7277371
1,Praise,0.07473606,0.5959545
0,Complain,0.62722087,0.7107151
0,Complain,0.822714,0.7608324
1,Praise,0.079459384,0.593707
0,Complain,0.62790996,0.7148235
1,Praise,0.074118234,0.59648937
0,Complain,0.78644395,0.7539873
0,Complain,0.7564513,0.7409101
0,Complain,0.7628324,0.7318408
1,Praise,0.07819242,0.59592265
1,Praise,0.27153328,0.5892379
1,Praise,0.07804742,0.59993124
0,Complain,0.20043726,0.5709348
1,Praise,0.076119095,0.5915926
0,Complain,0.8143011,0.75989646
0,Complain,0.8121874,0.75598913
0,Complain,0.67282057,0.70084345
0,Complain,0.668305,0.70527744
1,Praise,0.076563865,0.58477926
1,Praise,0.59938675,0.6812872
0,Complain,0.813309,0.7647169
1,Praise,0.21559459,0.6103859
0,Complain,0.6668179,0.71535355
1,Praise,0.081316546,0.5971972
0,Complain,0.63971126,0.69792813
0,Complain,0.77801865,0.73699534
1,Praise,0.07600598,0.5951057
0,Complain,0.667391,0.7180621
1,Praise,0.08747161,0.57486546
0,Complain,0.7661623,0.74116826
0,Complain,0.64486516,0.6894907
1,Praise,0.074984044,0.60529464
0,Complain,0.7975166,0.7393379
1,Praise,0.12436429,0.5768723
1,Praise,0.076350346,0.5969932
1,Praise,0.8434238,0.77279544
0,Complain,0.67003727,0.6994443
1,Praise,0.075619385,0.5860117
1,Praise,0.42876574,0.6075263
1,Praise,0.07588204,0.58367836
1,Praise,0.07811955,0.59884155
1,Praise,0.07927754,0.5953235
1,Praise,0.07516372,0.59598446
0,Complain,0.20742239,0.5837773
0,Complain,0.8092694,0.75879484
0,Complain,0.6109738,0.6896526
1,Praise,0.07695398,0.5819396
0,Complain,0.7227631,0.7214256
1,Praise,0.48218748,0.64217883
0,Complain,0.7532797,0.7342279
1,Praise,0.06893082,0.5853317
1,Praise,0.0771607,0.61235076
1,Praise,0.50733197,0.66096723
1,Praise,0.07710346,0.58977455
0,Complain,0.83559704,0.7701434
1,Praise,0.07634711,0.58671236
0,Complain,0.72267234,0.7219261
0,Complain,0.1126441,0.5889995
0,Complain,0.737805,0.73272914
0,Complain,0.23900566,0.60890526
1,Praise,0.7318029,0.7181434
1,Praise,0.073140375,0.59217966
0,Complain,0.7720873,0.7484134
0,Complain,0.8249254,0.7684012
1,Praise,0.06993675,0.6048627
0,Complain,0.78667676,0.7451455
1,Praise,0.15754671,0.5689941
0,Complain,0.8209864,0.75250125
1,Praise,0.10822335,0.57919294
0,Complain,0.75921553,0.74824476
0,Complain,0.15163983,0.5704922
1,Praise,0.078572355,0.598351
1,Praise,0.076879665,0.5862611
1,Praise,0.07697002,0.60360426
0,Complain,0.48531967,0.6303543
1,Praise,0.07580857,0.58943653
0,Complain,0.07577276,0.58815134
0,Complain,0.10903875,0.5725415
0,Complain,0.797841,0.7557448
0,Complain,0.56647485,0.6702181
1,Praise,0.76179934,0.74189776
1,Praise,0.07853256,0.6079686
0,Complain,0.83438414,0.7626911
1,Praise,0.08185289,0.586081
0,Complain,0.82769847,0.7611142
0,Complain,0.735614,0.72804993
0,Complain,0.20492576,0.5825975
1,Praise,0.0760736,0.6063654
0,Complain,0.80712247,0.75819725
0,Complain,0.8325859,0.76439357
0,Complain,0.8249382,0.76673996
1,Praise,0.075441115,0.5785634
1,Praise,0.07443409,0.59817004
0,Complain,0.7379263,0.7365527
0,Complain,0.8293542,0.76475024
1,Praise,0.07543288,0.5807549
1,Praise,0.09248691,0.5741502
0,Complain,0.8015027,0.7566517
1,Praise,0.08107991,0.59357536
0,Complain,0.16376422,0.5512508
0,Complain,0.8012621,0.7560483
0,Complain,0.39016026,0.6342478
1,Praise,0.07772176,0.59657335
1,Praise,0.4580906,0.67362183
0,Complain,0.69852275,0.7077354
0,Complain,0.32740992,0.613965
0,Complain,0.77707326,0.74603754
0,Complain,0.54797363,0.68393725
0,Complain,0.08497562,0.58971804
0,Complain,0.81298417,0.76094097
0,Complain,0.6466533,0.67758524
0,Complain,0.79996985,0.7543235
1,Praise,0.08341935,0.5530884
0,Complain,0.76995,0.7387464
0,Complain,0.8018478,0.75246257
0,Complain,0.8339102,0.7630727
0,Complain,0.82277995,0.7611646
1,Praise,0.09078194,0.5799626
1,Praise,0.076919466,0.59288937
1,Praise,0.07781407,0.5945405
0,Complain,0.8300063,0.769607
0,Complain,0.7411189,0.7306915
1,Praise,0.075852305,0.5810456
0,Complain,0.8401539,0.7732049
0,Complain,0.7762115,0.7492029
0,Complain,0.8285359,0.76892227
1,Praise,0.07589086,0.5808731
1,Praise,0.1446202,0.541091
1,Praise,0.08015356,0.582576
0,Complain,0.791644,0.751954
1,Praise,0.13874169,0.59453934
1,Praise,0.07744658,0.5878514
0,Complain,0.39419773,0.62873125
0,Complain,0.80393225,0.75854963
0,Complain,0.80780476,0.76040083
0,Complain,0.5877757,0.6787297
1,Praise,0.078812,0.59925914
0,Complain,0.08200149,0.5642752
1,Praise,0.7909164,0.73562974
0,Complain,0.8075895,0.754107
0,Complain,0.8009489,0.76214427
0,Complain,0.7620933,0.74782294
0,Complain,0.8275449,0.77308804
0,Complain,0.29104307,0.6129816
0,Complain,0.8114175,0.76449096
1,Praise,0.08110566,0.58991975
0,Complain,0.77872026,0.744421
0,Complain,0.06861333,0.57466066
1,Praise,0.48777846,0.6681519
0,Complain,0.79052395,0.75515676
1,Praise,0.66931033,0.690443
0,Complain,0.78288794,0.7520646
0,Complain,0.8288921,0.7655169
1,Praise,0.076271,0.5854472
0,Complain,0.64319885,0.7061515
1,Praise,0.079461254,0.5916263
1,Praise,0.08122122,0.5736493
1,Praise,0.077180065,0.60081047
1,Praise,0.08033476,0.5937398
0,Complain,0.8354084,0.7642706
0,Complain,0.2014157,0.58173984
