y,label,gate_a,gate_v
7,Flaunt,0.9367312,0.7790437
5,Agree,0.7426972,0.9405156
0,Complain,0.973053,0.9488695
12,Inform,0.93491346,0.50690746
1,Praise,0.98788005,0.829458
16,Leave,0.9723488,0.121229656
5,Agree,0.6732666,0.9470222
8,Joke,0.9299605,0.7573743
12,Inform,0.9809059,0.1299684
1,Praise,0.98908675,0.8021313
12,Inform,0.9872141,0.05986458
3,Thank,0.9847451,0.9713883
12,Inform,0.87666935,0.25536674
3,Thank,0.9857582,0.96696466
11,Care,0.65282243,0.98555875
1,Praise,0.98937744,0.72181016
12,Inform,0.9898808,0.060067143
1,Praise,0.98663527,0.7875185
11,Care,0.5865371,0.99245197
12,Inform,0.98629993,0.06619021
8,Joke,0.9648591,0.586864
14,Arrange,0.9690926,0.18609105
3,Thank,0.98561215,0.9700276
5,Agree,0.7403714,0.9537163
7,Flaunt,0.39938357,0.9693414
18,Greet,0.9589024,0.31967756
13,Advise,0.81180346,0.99090904
13,Advise,0.9295232,0.54866374
0,Complain,0.08405773,0.9903776
14,Arrange,0.7942521,0.86452025
0,Complain,0.97880447,0.9705693
3,Thank,0.9852616,0.97057176
4,Criticize,0.8905296,0.9728875
0,Complain,0.65440893,0.99184555
17,Prevent,0.23455232,0.95528555
12,Inform,0.9917122,0.20053685
1,Praise,0.9868984,0.8171176
12,Inform,0.98908126,0.069390155
0,Complain,0.08386646,0.9898461
10,Comfort,0.7858739,0.9894834
4,Criticize,0.7297688,0.9898982
5,Agree,0.57436216,0.9477627
14,Arrange,0.9736892,0.06095083
1,Praise,0.9882776,0.8578859
10,Comfort,0.6331276,0.98627925
1,Praise,0.9871414,0.8063963
9,Oppose,0.11386562,0.98688215
17,Prevent,0.121439,0.9620865
11,Care,0.61552554,0.9866888
12,Inform,0.9871273,0.07183689
18,Greet,0.9431556,0.13677767
13,Advise,0.6497181,0.9856308
1,Praise,0.987755,0.791252
15,Introduce,0.929153,0.13876411
13,Advise,0.81839913,0.6224569
19,Ask for help,0.84498847,0.5800296
17,Prevent,0.20912008,0.92272943
19,Ask for help,0.73769164,0.94270957
13,Advise,0.86214626,0.934844
1,Praise,0.90082544,0.96844614
0,Complain,0.97546023,0.9710533
0,Complain,0.98127717,0.9576234
19,Ask for help,0.757211,0.7682203
5,Agree,0.83072376,0.89019287
16,Leave,0.9860633,0.053423967
0,Complain,0.99103385,0.78582186
12,Inform,0.989799,0.1367099
14,Arrange,0.9628071,0.42184818
18,Greet,0.968456,0.2549164
13,Advise,0.8324131,0.9645454
0,Complain,0.9822174,0.95527476
12,Inform,0.9884493,0.31955597
2,Apologise,0.90023506,0.9770683
4,Criticize,0.7223425,0.9881753
3,Thank,0.9852114,0.97109604
0,Complain,0.991426,0.32070565
12,Inform,0.99206537,0.15378821
15,Introduce,0.9447286,0.14348465
6,Taunt,0.97128785,0.9709986
0,Complain,0.9508688,0.95730716
12,Inform,0.9877221,0.085811645
6,Taunt,0.87368137,0.98071367
13,Advise,0.862736,0.8786432
1,Praise,0.9906329,0.94769526
18,Greet,0.9735718,0.23309037
7,Flaunt,0.9895654,0.88009244
3,Thank,0.9862687,0.9562948
12,Inform,0.8733169,0.746111
15,Introduce,0.9010951,0.26214212
12,Inform,0.9695262,0.25461528
0,Complain,0.9743637,0.3886936
13,Advise,0.8087251,0.9340605
5,Agree,0.88240725,0.8348121
0,Complain,0.9820681,0.41244024
5,Agree,0.71645206,0.9421949
4,Criticize,0.8566038,0.9841584
12,Inform,0.96150005,0.9306004
17,Prevent,0.9133636,0.23899664
4,Criticize,0.5590482,0.9926853
18,Greet,0.9477974,0.33402863
0,Complain,0.97686327,0.96854144
1,Praise,0.96682733,0.8624401
6,Taunt,0.9714569,0.53774315
14,Arrange,0.96473587,0.28931826
1,Praise,0.9882576,0.8038211
2,Apologise,0.88580734,0.981097
2,Apologise,0.88523823,0.98177767
13,Advise,0.72561413,0.9752779
10,Comfort,0.831368,0.9851864
0,Complain,0.98954004,0.920196
0,Complain,0.9819452,0.971264
12,Inform,0.9838779,0.09765164
19,Ask for help,0.7325786,0.9134812
2,Apologise,0.7697247,0.9902682
10,Comfort,0.79393506,0.98952043
0,Complain,0.98608786,0.16468789
2,Apologise,0.89300543,0.98142046
0,Complain,0.99087334,0.16916388
16,Leave,0.9689442,0.11480012
14,Arrange,0.91284806,0.6540863
11,Care,0.6530603,0.98516154
6,Taunt,0.9505398,0.4751917
7,Flaunt,0.9743148,0.6094649
0,Complain,0.48176247,0.9760182
4,Criticize,0.9205646,0.8960409
2,Apologise,0.9022564,0.9819518
11,Care,0.66071296,0.9841748
2,Apologise,0.89107496,0.98189044
12,Inform,0.98805827,0.04564413
0,Complain,0.9852498,0.92489886
4,Criticize,0.8575662,0.97906965
7,Flaunt,0.97225934,0.56429464
0,Complain,0.9754999,0.9711105
16,Leave,0.9711006,0.22524992
17,Prevent,0.15974246,0.94881755
12,Inform,0.98939896,0.06867527
1,Praise,0.9885993,0.8178142
0,Complain,0.98163337,0.94423646
17,Prevent,0.11550367,0.9668199
7,Flaunt,0.97748876,0.9668318
0,Complain,0.92508817,0.9852496
3,Thank,0.98466325,0.97089607
12,Inform,0.9898509,0.06688154
19,Ask for help,0.8636465,0.660116
13,Advise,0.8809013,0.93593776
11,Care,0.7049543,0.9804669
12,Inform,0.94952476,0.66563725
13,Advise,0.9459226,0.25829354
11,Care,0.70417374,0.9454127
1,Praise,0.9880426,0.78433454
0,Complain,0.983585,0.96733075
6,Taunt,0.89484394,0.9595867
16,Leave,0.9784454,0.07716378
0,Complain,0.98291653,0.22534756
12,Inform,0.96195924,0.84567463
8,Joke,0.96189207,0.5959526
6,Taunt,0.9427239,0.98263365
1,Praise,0.9886545,0.72775626
2,Apologise,0.9081785,0.97759444
6,Taunt,0.8470241,0.9201626
3,Thank,0.9850246,0.9660885
13,Advise,0.83537954,0.95063007
1,Praise,0.9908159,0.7660729
9,Oppose,0.077789895,0.9598235
15,Introduce,0.9908461,0.283804
0,Complain,0.97821325,0.93164396
10,Comfort,0.9632541,0.85318005
1,Praise,0.9884533,0.76420164
1,Praise,0.98719066,0.7809266
12,Inform,0.98383546,0.09581671
0,Complain,0.98476577,0.9426501
17,Prevent,0.3382765,0.9243576
16,Leave,0.97230995,0.11789799
17,Prevent,0.10573227,0.96038944
12,Inform,0.98639745,0.06662806
2,Apologise,0.8902862,0.9814068
4,Criticize,0.8175942,0.9925546
